,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mean_fit_time,28.702305221557616,28.88216757774353,139.82712721824646,45.70113625526428,28.55184316635132,17.25355167388916,23.588549184799195,39.541829919815065,28.671138095855714,27.025511837005617,16.133641624450682,20.946181201934813,195.77364420890808,16.81991047859192,41.729147863388064,23.354361152648927,29.52087345123291,18.273552227020264,121.16283292770386,16.678792190551757,20.861909055709837,30.57655272483826,15.947379159927369,19.452259969711303,37.786302995681766,32.318981122970584,23.65567765235901,16.98671612739563,82.47890520095825,21.36560115814209,17.63659210205078,17.81598267555237,30.012051010131835,34.30804028511047,113.85331807136535,39.54532294273376,88.43121166229248,91.86941957473755,26.611740350723267,166.99556903839112,17.515751981735228,24.249732398986815,18.45323529243469,53.01114273071289,20.2328821182251,90.18600792884827,39.63782086372375,163.54171481132508,12.846633005142213,31.798795080184938,166.55123867988587,17.5089608669281,35.88602981567383,28.50105357170105,23.411575031280517,24.248237705230714,27.70361738204956,32.19450454711914,23.463034629821777,16.427256965637206,83.02725400924683,49.33387384414673,20.38848114013672,39.820302677154544,87.58473129272461,17.502785396575927,17.525029325485228,23.022613763809204,18.945922088623046,23.608874893188478,21.298047971725463,81.78519530296326,27.157856702804565,47.32510461807251,22.64073243141174,13.99178342819214,33.47875266075134,29.19002833366394,16.273267459869384,20.491583395004273,15.674880886077881,17.012721729278564,28.26289834976196,17.377314233779906,18.281612062454222,146.8549389362335,16.810683012008667,27.024711847305298,22.546898651123048,32.111717557907106,30.00756244659424,23.791488218307496,19.454745244979858,13.861826753616333,16.405916929244995,17.10623707771301,15.007850074768067,59.64747333526611,22.69013366699219,14.975766944885255
std_fit_time,6.271884821203219,4.219530408437942,73.65867924252272,33.04451804893809,9.868945856993113,0.2007507933992422,6.999530363490217,3.651929922877001,8.824218237430923,12.116114269527563,0.3460922586182706,4.161901984117117,147.36962081730888,2.9434476993041554,25.26381894893207,5.998578828580635,10.091795194863867,0.8447542346573649,119.16613471891357,0.47650497264185304,4.558394688746064,8.176369570973272,0.33680183695987836,3.889651828544711,16.22110908302164,4.624734487017294,6.596696431251364,0.2579358071227331,115.61736378399843,9.192496311427554,1.5273799235022643,0.7586030698655537,18.235837964791845,16.8266932705391,98.38279600038317,6.123816166237601,114.5032617390513,113.67254988772235,8.740413371652023,123.29965991057891,2.412677965917229,7.681372390307195,0.36748098952696817,43.27850447961966,4.320429918089871,114.81405681903387,9.682252414508309,127.38266916046565,0.3038564220822212,10.611497490911981,70.35059136040233,0.47575932880825045,7.876005203579077,13.948882718559998,4.528034055003276,3.5929221295225835,6.734488096081914,10.449998539012336,8.956903757391471,0.47374266213782645,99.68293245753311,41.482296648707575,5.816221341035691,21.02230090234757,114.9938262871106,4.733737845895891,0.48880572416473983,2.2292541814382276,0.6235828120294895,8.671036481989832,3.541836287309116,116.76037566802941,10.81239575303465,22.188859934405297,9.508600034856983,0.46933931177810106,11.587920792352369,8.906191787474157,0.8098783418834522,4.16399100911487,0.5516378478285501,0.7140855740435065,18.31072790550918,1.0629217744438526,0.9245787095767669,136.19474956278447,0.4397209062887192,4.195377031491447,6.0852941590460174,13.177846304054315,3.537769730621492,7.622780793842521,6.179595526820051,0.4538713572741169,0.921295171413304,2.817653483917983,0.3934653016626295,24.42112003531119,4.071271872342297,1.363408064791171
mean_score_time,0.11150503158569336,0.09135465621948242,0.09454779624938965,0.07340531349182129,0.09115428924560547,0.09574508666992188,0.1125,0.07819247245788574,0.11130223274230958,0.08497419357299804,0.08955874443054199,0.09515185356140136,0.08756561279296875,0.09554362297058105,0.10571660995483398,0.09485034942626953,0.098136568069458,0.08676748275756836,0.10032968521118164,0.09733724594116211,0.09673962593078614,0.12067484855651855,0.06582536697387695,0.09484834671020508,0.09015874862670899,0.08956003189086914,0.07839131355285645,0.10132837295532227,0.07799148559570312,0.10252594947814941,0.1011284351348877,0.09773845672607422,0.07260808944702149,0.1011289119720459,0.07280292510986328,0.09414787292480468,0.0865666389465332,0.08856229782104492,0.0851717472076416,0.10212607383728027,0.07859058380126953,0.09614052772521972,0.09295067787170411,0.09195342063903808,0.1172865390777588,0.09414691925048828,0.08636870384216308,0.08337516784667968,0.10651359558105469,0.09932670593261719,0.10631442070007324,0.09235172271728516,0.07918891906738282,0.08597173690795898,0.08258023262023925,0.0989354133605957,0.10471944808959961,0.0853722095489502,0.11030378341674804,0.084572172164917,0.09933657646179199,0.08038482666015626,0.08975920677185059,0.10013303756713868,0.0979384422302246,0.08078551292419434,0.08218092918395996,0.09115924835205078,0.10551471710205078,0.08617076873779297,0.09634366035461425,0.0867703914642334,0.10471887588500976,0.08437376022338867,0.08378047943115234,0.08557052612304687,0.09315581321716308,0.08078742027282715,0.07639536857604981,0.09115972518920898,0.09135699272155762,0.09773845672607422,0.09056024551391602,0.105316162109375,0.10132899284362792,0.07998676300048828,0.11309194564819336,0.09594426155090333,0.0831791877746582,0.10432701110839844,0.1009284496307373,0.10252294540405274,0.10695714950561523,0.09594430923461914,0.09395079612731934,0.08457441329956054,0.08916244506835938,0.06602249145507813,0.11469182968139649,0.07499990463256836
std_score_time,0.032302672534404116,0.031529881542452586,0.03280245688100274,0.010467583995940659,0.02763684039296593,0.018691633235153007,0.03181711117160474,0.014167913622219069,0.02626205089271816,0.02064606860566715,0.020876140704848747,0.020128917191312535,0.013868379482474408,0.02740434013767157,0.024952139912728134,0.041286476910262125,0.020725053258575335,0.009873542737256878,0.02283771025469712,0.0209852750317395,0.014913588542405161,0.026196957192172462,0.005203171951312439,0.02320928133532217,0.021362372870528026,0.023933728429040742,0.012640535182405994,0.02336928771819272,0.020646074408598572,0.0237046448263433,0.027671631752910496,0.01993722980358417,0.011360491048680404,0.0057317940281051685,0.011783264256255643,0.024773740225323786,0.022044253313809704,0.014890334342940573,0.013536925444517685,0.021349195819715668,0.020610311315460445,0.01801915031883619,0.02509247456739397,0.02834565749204414,0.021999518762929278,0.015146910748330864,0.024188236113794385,0.024252088522940023,0.019085179370208198,0.01947460473812583,0.029333771737427433,0.014392232721510459,0.01186314675271484,0.015822329925786548,0.020733308486420587,0.023291881415770647,0.02039048369217522,0.01951059367463983,0.02817156127665392,0.020453176029082202,0.012354745402856691,0.025282605538448202,0.02953173323454427,0.035794541362756414,0.02295652711541371,0.015795240793764844,0.01892916295162958,0.019478429428733443,0.0188379446834761,0.02132210965932938,0.018177159831935814,0.015257309431816088,0.023851972870660744,0.01593855652141204,0.01998754957882779,0.017084744366248093,0.015820660276747077,0.009415729594924663,0.01392863516808929,0.015251382932244113,0.012765281007682372,0.017807588086911907,0.017082212116234705,0.01703661852159909,0.018887014917752798,0.014121503476021886,0.014776074838576061,0.02766365810744248,0.01857064586238422,0.019334372414218464,0.025003583732156085,0.02650289819965866,0.0266606455616228,0.020315418736589062,0.021056761207924886,0.029929535385922086,0.01080682886737537,0.02053039522280016,0.03554150692539343,0.01943579787728629
param_lambd,3.362306878084833e-09,4.172190666037287e-10,0.022518208933102347,0.0018616148866705665,4.92096940280081e-08,8.584847173280038e-10,7.872950747806367e-05,0.7740365806166943,0.0006573441431950926,4.88203151825155e-08,1.695434397306602e-08,8.062708054085634e-07,0.0001285610212138209,0.00016725851754615783,6.299456296348832e-09,1.793561226852454e-08,1.530940073634644e-05,2.1193604605930966e-05,1.7416970829226466e-05,0.005000494383854024,9.09341351871485e-08,0.0018254974103383498,0.0049102507678366126,3.790244437725615e-05,5.275394166708014e-06,1.4206816871514755e-09,4.2008396978485717e-07,3.127429289395094e-06,1.4206166424361523e-06,8.166871232052446e-10,1.9064369259257858e-05,3.0842916614258407e-06,9.338325890922227e-10,0.02287884496615637,0.03074277301111741,3.475638372780327e-07,8.67994120386797e-10,2.3045324609349356e-07,9.300150530668974e-08,0.011545322912393246,0.00022019795686888875,1.9700887585996277e-10,1.5196184241194897e-05,0.005616655220492734,2.0669414208220736e-09,1.8445402577396207e-07,0.9899093645036922,2.6821012843853933e-10,0.5650990592235008,0.0006288260479618264,0.158553122432326,2.8745195642649386e-08,0.0011478579224028734,5.367178342664751e-06,5.6751744154547825e-09,4.772643577319186e-07,9.374318764730258e-08,0.001909859155961364,1.1436550223244233e-09,1.6582097112609785e-05,0.03427077161424442,0.00012902097556256837,1.475444603184212e-10,0.012154788726862138,1.4048485235429988e-09,1.1661627226491133e-09,0.011910783076779851,6.065317378965907e-10,0.022900471489284535,0.00022935385358497897,0.008823645612000185,0.0038127664247234435,5.480322891440355e-07,0.0022078775178285947,0.0022746471497929435,0.2835715529610535,0.00033830410553764253,1.1330917794382944e-06,2.520522260640674e-09,2.2601808648216904e-10,0.0006900432024620224,0.007329020445672505,0.00010200083674206784,1.100259503719816e-10,1.6857685083495848e-05,1.6915683337592142e-10,4.5914077976943037e-10,0.019242614606154687,2.9979537051928066e-10,5.135898132597737e-07,3.3925662618943135e-08,6.209430459200478e-05,4.787844014482005e-05,0.5243229264367549,3.203866360398481e-09,6.97185216331346e-09,0.14926561322001347,0.00993185991001004,6.299936174941002e-08,0.004819287912234552
param_learning_rate,0.004024511932699883,0.00831228993675148,0.07144866121251742,0.03443439395748663,0.019411477109985108,0.001443350381099772,0.004860501443480163,0.017903849250388505,0.012720776652457152,0.005578517153958926,0.0023598543583293065,0.00243402374847643,0.058293065507079564,0.0032080260662460188,0.04293475007901805,0.010807227157320526,0.01587632100339725,0.0010632125621596092,0.06191122947110688,0.0017607730900906242,0.0167512476219678,0.008452690011748965,0.0024169188120356884,0.012634449218692003,0.03835040204836056,0.02304664947517097,0.00487997713901012,0.001132099297688699,0.06989778393990873,0.004268188189917597,0.004530269740062065,0.0010781242891797229,0.024276001018159365,0.007057387756640211,0.012404590210238485,0.028477336317640514,0.06105448775680158,0.06076665896113321,0.004011405632858296,0.04733909328275068,0.004194252860548424,0.006303106314812435,0.0010346105478543045,0.05116139658770376,0.0037613806674190696,0.06503080219915676,0.03481517519242348,0.0852122848393939,0.002541169336190233,0.00852491637120715,0.028603204509226328,0.0010941577224008198,0.03539694209268409,0.04008064753352303,0.027563774464152643,0.011592734832807159,0.005605095417476307,0.006266365029839261,0.006268524144318969,0.0016293898438553133,0.010884155410215935,0.045530352934526605,0.03472194174693057,0.040375192140685745,0.059728239090386104,0.0030173126699707146,0.0015994752479478397,0.004907640260529992,0.001352338764719905,0.02190433481594073,0.003971317437801906,0.04688976497386713,0.006789523806871975,0.02588753457947564,0.013994128527558297,0.003729898822013148,0.04188717527689672,0.010648720230048255,0.0020627136004735,0.00962968353846483,0.002251172496948169,0.001835235954974362,0.010879279206193374,0.001499077539467672,0.0010213332590692866,0.07264462322173937,0.0017716433138901826,0.0054482279083581135,0.016030337515195354,0.023606052821946895,0.010887464345540165,0.02454364634273088,0.01419571486905062,0.0015570591964550028,0.0027403420563957147,0.0022314258667409446,0.001497876504705642,0.046016235399419604,0.0077949440070259205,0.0021172820769652257
params,"{'lambd': 3.362306878084833e-09, 'learning_rate': 0.004024511932699883}","{'lambd': 4.172190666037287e-10, 'learning_rate': 0.00831228993675148}","{'lambd': 0.022518208933102347, 'learning_rate': 0.07144866121251742}","{'lambd': 0.0018616148866705665, 'learning_rate': 0.03443439395748663}","{'lambd': 4.92096940280081e-08, 'learning_rate': 0.019411477109985108}","{'lambd': 8.584847173280038e-10, 'learning_rate': 0.001443350381099772}","{'lambd': 7.872950747806367e-05, 'learning_rate': 0.004860501443480163}","{'lambd': 0.7740365806166943, 'learning_rate': 0.017903849250388505}","{'lambd': 0.0006573441431950926, 'learning_rate': 0.012720776652457152}","{'lambd': 4.88203151825155e-08, 'learning_rate': 0.005578517153958926}","{'lambd': 1.695434397306602e-08, 'learning_rate': 0.0023598543583293065}","{'lambd': 8.062708054085634e-07, 'learning_rate': 0.00243402374847643}","{'lambd': 0.0001285610212138209, 'learning_rate': 0.058293065507079564}","{'lambd': 0.00016725851754615783, 'learning_rate': 0.0032080260662460188}","{'lambd': 6.299456296348832e-09, 'learning_rate': 0.04293475007901805}","{'lambd': 1.793561226852454e-08, 'learning_rate': 0.010807227157320526}","{'lambd': 1.530940073634644e-05, 'learning_rate': 0.01587632100339725}","{'lambd': 2.1193604605930966e-05, 'learning_rate': 0.0010632125621596092}","{'lambd': 1.7416970829226466e-05, 'learning_rate': 0.06191122947110688}","{'lambd': 0.005000494383854024, 'learning_rate': 0.0017607730900906242}","{'lambd': 9.09341351871485e-08, 'learning_rate': 0.0167512476219678}","{'lambd': 0.0018254974103383498, 'learning_rate': 0.008452690011748965}","{'lambd': 0.0049102507678366126, 'learning_rate': 0.0024169188120356884}","{'lambd': 3.790244437725615e-05, 'learning_rate': 0.012634449218692003}","{'lambd': 5.275394166708014e-06, 'learning_rate': 0.03835040204836056}","{'lambd': 1.4206816871514755e-09, 'learning_rate': 0.02304664947517097}","{'lambd': 4.2008396978485717e-07, 'learning_rate': 0.00487997713901012}","{'lambd': 3.127429289395094e-06, 'learning_rate': 0.001132099297688699}","{'lambd': 1.4206166424361523e-06, 'learning_rate': 0.06989778393990873}","{'lambd': 8.166871232052446e-10, 'learning_rate': 0.004268188189917597}","{'lambd': 1.9064369259257858e-05, 'learning_rate': 0.004530269740062065}","{'lambd': 3.0842916614258407e-06, 'learning_rate': 0.0010781242891797229}","{'lambd': 9.338325890922227e-10, 'learning_rate': 0.024276001018159365}","{'lambd': 0.02287884496615637, 'learning_rate': 0.007057387756640211}","{'lambd': 0.03074277301111741, 'learning_rate': 0.012404590210238485}","{'lambd': 3.475638372780327e-07, 'learning_rate': 0.028477336317640514}","{'lambd': 8.67994120386797e-10, 'learning_rate': 0.06105448775680158}","{'lambd': 2.3045324609349356e-07, 'learning_rate': 0.06076665896113321}","{'lambd': 9.300150530668974e-08, 'learning_rate': 0.004011405632858296}","{'lambd': 0.011545322912393246, 'learning_rate': 0.04733909328275068}","{'lambd': 0.00022019795686888875, 'learning_rate': 0.004194252860548424}","{'lambd': 1.9700887585996277e-10, 'learning_rate': 0.006303106314812435}","{'lambd': 1.5196184241194897e-05, 'learning_rate': 0.0010346105478543045}","{'lambd': 0.005616655220492734, 'learning_rate': 0.05116139658770376}","{'lambd': 2.0669414208220736e-09, 'learning_rate': 0.0037613806674190696}","{'lambd': 1.8445402577396207e-07, 'learning_rate': 0.06503080219915676}","{'lambd': 0.9899093645036922, 'learning_rate': 0.03481517519242348}","{'lambd': 2.6821012843853933e-10, 'learning_rate': 0.0852122848393939}","{'lambd': 0.5650990592235008, 'learning_rate': 0.002541169336190233}","{'lambd': 0.0006288260479618264, 'learning_rate': 0.00852491637120715}","{'lambd': 0.158553122432326, 'learning_rate': 0.028603204509226328}","{'lambd': 2.8745195642649386e-08, 'learning_rate': 0.0010941577224008198}","{'lambd': 0.0011478579224028734, 'learning_rate': 0.03539694209268409}","{'lambd': 5.367178342664751e-06, 'learning_rate': 0.04008064753352303}","{'lambd': 5.6751744154547825e-09, 'learning_rate': 0.027563774464152643}","{'lambd': 4.772643577319186e-07, 'learning_rate': 0.011592734832807159}","{'lambd': 9.374318764730258e-08, 'learning_rate': 0.005605095417476307}","{'lambd': 0.001909859155961364, 'learning_rate': 0.006266365029839261}","{'lambd': 1.1436550223244233e-09, 'learning_rate': 0.006268524144318969}","{'lambd': 1.6582097112609785e-05, 'learning_rate': 0.0016293898438553133}","{'lambd': 0.03427077161424442, 'learning_rate': 0.010884155410215935}","{'lambd': 0.00012902097556256837, 'learning_rate': 0.045530352934526605}","{'lambd': 1.475444603184212e-10, 'learning_rate': 0.03472194174693057}","{'lambd': 0.012154788726862138, 'learning_rate': 0.040375192140685745}","{'lambd': 1.4048485235429988e-09, 'learning_rate': 0.059728239090386104}","{'lambd': 1.1661627226491133e-09, 'learning_rate': 0.0030173126699707146}","{'lambd': 0.011910783076779851, 'learning_rate': 0.0015994752479478397}","{'lambd': 6.065317378965907e-10, 'learning_rate': 0.004907640260529992}","{'lambd': 0.022900471489284535, 'learning_rate': 0.001352338764719905}","{'lambd': 0.00022935385358497897, 'learning_rate': 0.02190433481594073}","{'lambd': 0.008823645612000185, 'learning_rate': 0.003971317437801906}","{'lambd': 0.0038127664247234435, 'learning_rate': 0.04688976497386713}","{'lambd': 5.480322891440355e-07, 'learning_rate': 0.006789523806871975}","{'lambd': 0.0022078775178285947, 'learning_rate': 0.02588753457947564}","{'lambd': 0.0022746471497929435, 'learning_rate': 0.013994128527558297}","{'lambd': 0.2835715529610535, 'learning_rate': 0.003729898822013148}","{'lambd': 0.00033830410553764253, 'learning_rate': 0.04188717527689672}","{'lambd': 1.1330917794382944e-06, 'learning_rate': 0.010648720230048255}","{'lambd': 2.520522260640674e-09, 'learning_rate': 0.0020627136004735}","{'lambd': 2.2601808648216904e-10, 'learning_rate': 0.00962968353846483}","{'lambd': 0.0006900432024620224, 'learning_rate': 0.002251172496948169}","{'lambd': 0.007329020445672505, 'learning_rate': 0.001835235954974362}","{'lambd': 0.00010200083674206784, 'learning_rate': 0.010879279206193374}","{'lambd': 1.100259503719816e-10, 'learning_rate': 0.001499077539467672}","{'lambd': 1.6857685083495848e-05, 'learning_rate': 0.0010213332590692866}","{'lambd': 1.6915683337592142e-10, 'learning_rate': 0.07264462322173937}","{'lambd': 4.5914077976943037e-10, 'learning_rate': 0.0017716433138901826}","{'lambd': 0.019242614606154687, 'learning_rate': 0.0054482279083581135}","{'lambd': 2.9979537051928066e-10, 'learning_rate': 0.016030337515195354}","{'lambd': 5.135898132597737e-07, 'learning_rate': 0.023606052821946895}","{'lambd': 3.3925662618943135e-08, 'learning_rate': 0.010887464345540165}","{'lambd': 6.209430459200478e-05, 'learning_rate': 0.02454364634273088}","{'lambd': 4.787844014482005e-05, 'learning_rate': 0.01419571486905062}","{'lambd': 0.5243229264367549, 'learning_rate': 0.0015570591964550028}","{'lambd': 3.203866360398481e-09, 'learning_rate': 0.0027403420563957147}","{'lambd': 6.97185216331346e-09, 'learning_rate': 0.0022314258667409446}","{'lambd': 0.14926561322001347, 'learning_rate': 0.001497876504705642}","{'lambd': 0.00993185991001004, 'learning_rate': 0.046016235399419604}","{'lambd': 6.299936174941002e-08, 'learning_rate': 0.0077949440070259205}","{'lambd': 0.004819287912234552, 'learning_rate': 0.0021172820769652257}"
split0_test_score,0.6997223935842073,0.702652683528686,0.7082048118445404,0.7111351017890192,0.7065083281924738,0.6841455891425047,0.6949413942011105,0.5,0.7055829734731647,0.7043491671807526,0.6995681677976557,0.696329426280074,0.7082048118445404,0.6992597162245527,0.723781616286243,0.7099012954966071,0.7021900061690315,0.6909315237507712,0.8066008636644046,0.6904688463911166,0.7085132634176434,0.7058914250462678,0.6844540407156077,0.7040407156076496,0.7129858112276373,0.7021900061690315,0.7038864898210981,0.6861505243676743,0.7105181986428131,0.6839913633559531,0.695712523133868,0.6886181369524984,0.7091301665638495,0.6943244910549043,0.7014188772362739,0.7114435533621222,0.6995681677976557,0.8201727328809377,0.7065083281924738,0.7122146822948797,0.7014188772362739,0.6989512646514497,0.6847624922887107,0.7122146822948797,0.7048118445404071,0.8158544108574953,0.5,0.8227945712523134,0.5,0.7131400370141888,0.6739666872301049,0.6671807526218384,0.7129858112276373,0.7111351017890192,0.7109808760024676,0.7043491671807526,0.7024984577421345,0.6977174583590376,0.6978716841455891,0.6940160394818014,0.6987970388648982,0.7009561998766194,0.7058914250462678,0.7066625539790253,0.7097470697100555,0.7001850709438618,0.6886181369524984,0.696329426280074,0.6735040098704503,0.7088217149907464,0.7018815545959285,0.7217766810610734,0.7021900061690315,0.7137569401603948,0.7103639728562615,0.5,0.7038864898210981,0.7060456508328192,0.6870758790869833,0.7017273288093769,0.6971005552128315,0.6992597162245527,0.703269586674892,0.6861505243676743,0.674892041949414,0.81122763726095,0.696020974706971,0.6856878470080198,0.709284392350401,0.709284392350401,0.7077421344848859,0.7061998766193708,0.7054287476866132,0.5,0.6875385564466379,0.7011104256631708,0.5,0.7143738433066008,0.7024984577421345,0.6810610734114744
split1_test_score,0.6895434916718075,0.7176125848241826,0.7003392967304133,0.7179210363972857,0.7094386181369525,0.68877236273905,0.6863047501542258,0.5,0.7183837137569402,0.7072794571252313,0.6932449105490438,0.6933991363355954,0.7146822948797039,0.7074336829117829,0.7183837137569402,0.7126773596545343,0.702652683528686,0.6955582973473164,0.7236273904996916,0.682449105490438,0.7103639728562615,0.716533004318322,0.6975632325724861,0.7137569401603948,0.7169956816779766,0.7156076495990129,0.7094386181369525,0.6907772979642196,0.7103639728562615,0.7045033929673041,0.6852251696483652,0.688155459592844,0.7191548426896978,0.696020974706971,0.683374460209747,0.7227020357803825,0.7176125848241826,0.6932449105490438,0.7009561998766194,0.7186921653300432,0.7077421344848859,0.7065083281924738,0.6870758790869833,0.7129858112276373,0.702961135101789,0.7210055521283159,0.5,0.7271745835903763,0.5,0.7068167797655768,0.703269586674892,0.6986428130783467,0.7154534238124615,0.7160703269586675,0.7126773596545343,0.7196175200493522,0.7123689080814312,0.7145280690931524,0.7045033929673041,0.7038864898210981,0.7041949413942011,0.7267119062307218,0.7160703269586675,0.7220851326341764,0.816625539790253,0.6949413942011105,0.696329426280074,0.7052745219000617,0.6725786551511412,0.7160703269586675,0.7066625539790253,0.7140653917334978,0.7179210363972857,0.716841455891425,0.7179210363972857,0.5,0.7185379395434917,0.7176125848241826,0.7024984577421345,0.7088217149907464,0.690623072177668,0.7001850709438618,0.7131400370141888,0.696020974706971,0.6944787168414559,0.7203886489821099,0.6933991363355954,0.6937075879086984,0.7120604565083282,0.7196175200493522,0.7188463911165947,0.7183837137569402,0.7080505860579889,0.5,0.6846082665021591,0.6930906847624922,0.5,0.7091301665638495,0.7106724244293646,0.6798272671190623
split2_test_score,0.7017273288093769,0.6805983960518198,0.7060456508328192,0.7211597779148674,0.7065083281924738,0.6995681677976557,0.6971005552128315,0.5,0.7004935225169648,0.7001850709438618,0.6815237507711289,0.6787476866132017,0.8055212831585441,0.6949413942011105,0.7097470697100555,0.702961135101789,0.7066625539790253,0.6790561381863047,0.769895126465145,0.688463911165947,0.7061998766193708,0.6853793954349168,0.6980259099321406,0.702961135101789,0.7115977791486736,0.7088217149907464,0.6969463294262801,0.6892350400987045,0.7126773596545343,0.7024984577421345,0.7006477483035164,0.695404071560765,0.7099012954966071,0.7000308451573103,0.7017273288093769,0.709592843923504,0.8164713140037014,0.7160703269586675,0.7018815545959285,0.6974090067859346,0.7000308451573103,0.7054287476866132,0.6896977174583591,0.7136027143738433,0.6889265885256015,0.709284392350401,0.5,0.7379703886489821,0.5,0.7021900061690315,0.6923195558297347,0.6775138803207896,0.7091301665638495,0.7169956816779766,0.7003392967304133,0.7052745219000617,0.6980259099321406,0.702961135101789,0.6992597162245527,0.6984885872917952,0.7028069093152375,0.6972547809993831,0.7085132634176434,0.6975632325724861,0.6998766193707588,0.6971005552128315,0.6702652683528686,0.6981801357186922,0.6724244293645898,0.703269586674892,0.7012646514497224,0.7069710055521283,0.7006477483035164,0.7099012954966071,0.6986428130783467,0.5,0.7075879086983343,0.703269586674892,0.7014188772362739,0.7020357803824799,0.6829117828500926,0.6841455891425047,0.7004935225169648,0.6966378778531771,0.696020974706971,0.8079888957433683,0.6969463294262801,0.6846082665021591,0.7017273288093769,0.7048118445404071,0.7046576187538557,0.703578038247995,0.6974090067859346,0.5,0.6918568784700801,0.6943244910549043,0.5,0.6910857495373226,0.6952498457742134,0.6838371375694016
